config,p,q0,lifetime,stream,price,policy,mean_tokens,rel_to_ours_evict,mean_final_library,mean_max_library,mean_n_compiles,mean_wasted_compiles,mean_wasted_compiles_tax,mean_wasted_tax_tokens,mean_tax_share,cheapest_policy
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,native,always_compile_evict_abandon,4462534593.2,0.875159,1.4,12.2,701.2,631.6,633.8,116652.9,0.009385,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,native,on_second,1745357335.1,0.342286,153.5,153.5,1517.4,1363.9,1474.0,342005463.8,0.311058,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,native,ours_evict,5099113365.9,1.0,0.3,2.6,179.0,162.4,162.4,0.0,0.005299,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,native,oracle_tax,1481358849.4,0.290513,44.6,44.6,444.3,399.7,399.7,0.0,0.138352,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,native,offline_taxblind,1125518861.94,0.220728,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,native,offline_opt_tax,1171542290.105,0.229754,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,autorpa_233k,always_reactive,7373315056.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004991,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,autorpa_233k,always_compile_evict,8839990225.0,1.198917,233.5,239.2,6663.4,6272.3,6548.8,1002352432.9,0.147534,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,autorpa_233k,always_compile_evict_abandon,8383154537.5,1.136959,97.0,104.3,3661.0,3494.5,3621.5,478120906.9,0.069685,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,autorpa_233k,on_second,10681739361.5,1.448702,662.6,662.6,6663.4,6272.3,6621.3,2842114302.3,0.294495,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,autorpa_233k,ours_evict,7373315056.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004991,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,autorpa_233k,oracle_tax,6850779926.9,0.929132,28.3,28.3,281.5,253.2,253.2,0.0,0.033533,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,autorpa_233k,offline_taxblind,6430617928.01,0.872147,,,,,,,,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,autorpa_233k,offline_opt_tax,6740593943.612,0.914188,,,,,,,,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,native,always_reactive,7373315056.0,1.009933,0.0,0.0,0.0,0.0,0.0,0.0,0.004991,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_B,native,always_compile_evict,6376432498.1,0.873389,38.1,53.8,6663.4,6000.8,6021.4,1397578.0,0.046464,always_compile_evict
