config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive,model
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,oracle_tax,164320735.797,0.99508,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_spend_cap,165133270.299,1.0,7.0,8.0,8.0,0.0,0.0,0.0,4.0,0.004,0.0,0.0,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_cap_epoch,165133270.299,1.0,7.0,8.0,8.0,0.0,0.0,0.0,4.0,0.004,0.0,0.0,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_cap_realized,165133270.299,1.0,7.0,8.0,8.0,0.0,0.0,0.0,4.0,0.004,0.0,0.0,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_pi_prior,165352877.584,1.00133,6.0,6.0,6.0,0.0,0.0,0.0,2.0,0.004,0.0,0.0,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,breakeven,178097128.724,1.078505,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.003,0.0,0.0,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,breakeven_cap_epoch,178097128.724,1.078505,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.003,0.0,0.0,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,offline_taxblind,141667448.259,0.857898,,,,,,,,,,,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,offline_opt_tax,148207098.388,0.8975,,,,,,,,,,,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,always_reactive,19487424199.81,2.336083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,always_compile_evict,8316542784.653,0.996958,10.0,46.0,315.0,0.0,0.0,0.0,176.0,0.014,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_noinflate,8341921724.198,1.0,9.0,37.0,174.0,0.0,0.0,0.0,62.0,0.012,0.0,0.0,always_compile_evict,1.0,android_ds
